Rank	University	Score	Country
683	Innopolis University	34.79	Russia
684	National Taipei University	34.585	Taiwan
685	University of Science and Technology (UST)	34.521	Republic of Korea
686	Gubkin Russian State University of Oil and Gas	34.429	Russia
687	Irkutsk State University	34.276	Russia
688	Belgorod National Research University	34.19	Russia
689	Qingdao University	34.179	China
690	University of Rijeka	34.173	Croatia
691	Kuwait University	34.137	Kuwait
692	South China Normal University	33.984	China
693	Moscow State University of Civil Engineering	33.979	Russia
694	Universidad Pontificia Bolivariana de Medellin-Colombia	33.938	Colombia
695	Moscow Technological University	33.801	Russia
696	Suleyman Demirel University - Kazakhstan	33.771	Kazakhstan
697	Ufa State Aviation Technical University	33.668	Russia
698	Wuhan University of Science & Technology	33.639	China
699	Asia University (Taiwan)	33.57	Taiwan
700	Shibaura Institute of Technology	33.499	Japan
701	University of Kurdistan	33.466	Iran
702	Russian New University	33.102	Russia
703	University of Malaysia Perlis	32.903	Malaysia
704	Amity University	32.785	India
705	Liaoning University	32.618	China
706	Universite de la Manouba	32.58	Tunisia
707	Kharkiv National University of Radio Electronics	32.549	Ukraine
708	National Taiwan Ocean University	32.477	Taiwan
709	Jiangsu Normal University	32.476	China
710	Chang`an University	32.376	China
711	Bashkir State University	31.936	Russia
712	Perm State University	31.91	Russia
713	Tver State Technical University	31.894	Russia
714	Yuan Ze University	31.852	Taiwan
715	Chung Yuan Christian University	31.851	Taiwan
716	National Yunlin University of Science and Technology	31.825	Taiwan
717	Odessa National Academy of Food Technologies	31.728	Ukraine
718	National University of Ostroh Academy	31.586	Ukraine
719	Autonomous University of Mexico State	31.548	Mexico
720	Institute of Space Technology	31.528	Pakistan
721	Marmara University	31.483	Turkey
722	University of Kufa	31.366	Iraq
723	Hawler Medical University	31.252	Iraq
724	Xiangtan University	31.121	China
725	Dublin Institute of Technology	31.063	Ireland
726	Dunarea de Jos University of Galati	31.058	Romania
727	Kazan National Research Technological University	30.975	Russia
728	Salahaddin University	30.901	Iraq
729	National Changhua University of Education	30.831	Taiwan
730	European University at St. Petersburg	30.699	Russia
731	South Ukrainian National Pedagogical University named after K.D. Ushynsky	30.612	Ukraine
732	National Dong Hwa University	30.256	Taiwan
733	Feng Chia University	30.155	Taiwan
734	Athens University of Economics and Business	30.051	Greece
735	Alzahra University	29.992	Iran
736	Tyumen State University	29.947	Russia
737	Perm National Research Polytechnic University	29.937	Russia
738	University of Sarajevo	29.854	Bosnia And Herzegovina
739	Saint Petersburg State University of Architecture and Civil Engineering	29.828	Russia
740	University of Anbar	29.73	Iraq
741	Tamkang University	29.665	Taiwan
742	National University of Uzbekistan	29.551	Bosnia And Herzegovina
743	Leeds Beckett University	29.52	UK
744	Omsk State Technical University	29.427	Russia
745	Southwest State University	29.415	Russia
746	Mordovia State University	28.983	Russia
747	``George Emil Palade`` University of Medicine, Pharmacy, Science, and Technology  of Targu Mures	28.812	Romania
748	Hunan Normal University	28.716	China
749	Ural State University of Economics	28.447	Russia
750	Ataturk University	28.297	Turkey
751	California State University, Long Beach	28.266	USA
752	Beni-Suef University	28.257	Egypt
753	Omsk State University	28.198	Russia
754	Ninevah University	28.076	Iraq
755	Reshetnev Siberian State University of Science and Technology	28.052	Russia
756	University of AL-Qadisiyah	27.818	Iraq
757	South Ural State University	27.538	Russia
758	Tver State University	27.471	Russia
759	University of South China	27.433	China
760	Wenzhou University	27.237	China
761	Democritus University of Thrace	27.207	Greece
762	Volgograd State University	27.202	Russia
763	Shanghai Maritime University	27.144	China
764	The Kosygin State University of Russia (Kosygin University)	26.969	Russia
765	Maikop State Technological University	26.918	Russia
766	Samara State Technical University	26.522	Russia
767	Moscow State University of Food Production	26.46	Russia
768	University of Babylon	26.219	Iraq
769	Ostrogradskiy National University of Kremenchuk	26.138	Ukraine
770	University of Mosul	26.092	Iraq
771	King Mongkut`s University of Technology North Bangkok	25.924	Thailand
772	Al-Iraqia University	25.758	Iraq
773	Polzunov Altai State Technical University	25.44	Russia
774	Azerbaijan State University of Economics (UNEC)	25.027	Azerbaijan
775	Tambov State Technical University	24.888	Russia
776	Tanta University	24.826	Egypt
777	University of Information Technology and Communications	24.715	Iraq
778	I-Shou University	24.691	Taiwan
779	Chung Hua University	24.688	Taiwan
780	Kabardino-Balkarian State University	24.484	Russia
781	Technical University of Cluj-Napoca	24.464	Romania
782	Mahasarakham University	24.359	Thailand
